disease_id,gene,disease_name,omim_id,inheritance,phenotype_concern_list
D0214,EBF3,"Hypotonia, ataxia, and delayed development syndrome",OMIM:617330,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; motor weakness concern; musculoskeletal concern; renal / urinary concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0161,CTBP1,"Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome",OMIM:617915,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; language / cognitive concern
D0115,CDKN1C,IMAGe syndrome,OMIM:614732,AD,developmental delay concern; growth / weight concern; musculoskeletal concern; renal / urinary concern
D0494,POLE,IMAGe-I syndrome,OMIM:618336,AR,feeding / swallowing concern; gastrointestinal concern; growth / weight concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; seizure-like event concern; skin concern
D0043,AMN,Imerslund-Grasbeck syndrome 2,OMIM:618882,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; renal / urinary concern
D0344,IL7R,"Immunodeficiency 104, severe combined",OMIM:608971,AR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0509,PTPRC,"Immunodeficiency 105, severe combined",OMIM:619924,AR,gastrointestinal concern; recurrent / unusual infection concern; skin concern; systemic red flag concern
D0450,OTULIN,"Immunodeficiency 107, susceptibility to invasive staphylococcus aureus infection",OMIM:619986,AD,recurrent / unusual infection concern; skin concern
D0337,IKBKB,Immunodeficiency 15B,OMIM:615592,AR,recurrent / unusual infection concern; skin concern; growth / weight concern; gastrointestinal concern
D0107,CD3G,"Immunodeficiency 17, CD3 gamma deficient",OMIM:615607,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0106,CD3E,Immunodeficiency 18,OMIM:615615,AR,gastrointestinal concern; recurrent / unusual infection concern; respiratory concern
D0105,CD3D,"Immunodeficiency 19, severe combined",OMIM:615617,AR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; respiratory concern
D0369,LCK,immunodeficiency 22,OMIM:615758,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; respiratory / cardiopulmonary concern; respiratory concern; skin concern; systemic red flag concern
D0164,CTPS1,Immunodeficiency 24,OMIM:615897,AR,recurrent / unusual infection concern; respiratory concern
D0104,CD247,Immunodeficiency 25,OMIM:610163,AR,gastrointestinal concern; hematologic / bleeding concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0505,PRKDC,"Immunodeficiency 26, with or without neurologic abnormalities",OMIM:615966,AR,growth / weight concern; hearing concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; seizure-like event concern; vision / ocular tracking concern
D0331,IFNGR1,"Immunodeficiency 27A, mycobacteriosis",OMIM:209950,AR,recurrent / unusual infection concern
D0330,IFNGR1,"Immunodeficiency 27B, mycobacteriosis",OMIM:615978,AD,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; social interaction / behavioral concern; systemic red flag concern
D0332,IFNGR2,"Immunodeficiency 28, mycobacteriosis",OMIM:614889,AR,developmental delay concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; social interaction / behavioral concern
D0610,STAT1,Immunodeficiency 31A,OMIM:614892,AD,recurrent / unusual infection concern
D0611,STAT1,Immunodeficiency 31B,OMIM:613796,AR,recurrent / unusual infection concern
D0612,STAT1,Immunodeficiency 31C,OMIM:614162,AD,fatigability / low stamina concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; motor weakness concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; skin concern; systemic red flag concern
D0347,IRF8,Immunodeficiency 32B,OMIM:226990,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; respiratory concern; systemic red flag concern
D0206,DOCK2,Immunodeficiency 40,OMIM:616433,AR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; respiratory concern; skin concern; systemic red flag concern
D0341,IL2RA,Immunodeficiency 41 with lymphoproliferation and autoimmunity,OMIM:606367,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0665,ZAP70,Immunodeficiency 48,OMIM:269840,AR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0368,LAT,Immunodeficiency 52,OMIM:617514,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; respiratory concern
D0395,MCM4,Immunodeficiency 54,OMIM:609981,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0342,IL2RB,Immunodeficiency 63 with lymphoproliferation and autoimmunity,OMIM:618495,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; skin concern
D0517,RASGRP1,Immunodeficiency 64,OMIM:618534,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern
D0418,MYD88,Immunodeficiency 68,OMIM:612260,AR,recurrent / unusual infection concern; skin concern
D0513,RAC2,Immunodeficiency 73B,OMIM:618986,AD,gastrointestinal concern; recurrent / unusual infection concern; respiratory concern
D0246,FCHO1,Immunodeficiency 76,OMIM:619164,AR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; respiratory concern
D0492,PNP,Immunodeficiency due to purine nucleoside phosphorylase deficiency,OMIM:613179,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; social interaction / behavioral concern
D0108,CD40,"Immunodeficiency with hyper-IgM, type 3",OMIM:606843,AR,recurrent / unusual infection concern
D0205,DNMT3B,Immunodeficiency-centromeric instability-facial anomalies syndrome 1,OMIM:242860,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; recurrent / unusual infection concern; respiratory concern
